Country Name,Country Code,Series,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005]
Ukraine,UKR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,59686,199111,195612,183380
United States,USA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,575132,887458,672416,611514


